latency.min,latency.mean,latency.max,summary.errors.status,summary.errors.timeout,summary.errors.connect
1365.000000,4007.364729,19024.000000,0,0,0
1203.000000,3535.914830,14136.000000,0,0,0
1141.000000,3324.437917,12520.000000,0,0,0
1157.000000,8889.762746,95872.000000,0,0,0
864.000000,27232.565645,98624.000000,0,0,0
891.000000,37988.453608,146176.000000,0,0,0
782.000000,98390.291345,148736.000000,0,0,0
775.000000,77188.730799,163840.000000,0,0,0
682.000000,146503.184874,407552.000000,0,0,0
734.000000,124931.345079,272384.000000,0,0,0
764.000000,63270.404141,116480.000000,0,0,0
398336.000000,548231.364135,684544.000000,0,0,0
1247232.000000,1518536.269663,1861632.000000,0,0,0
1932288.000000,2363490.010413,2809856.000000,0,0,0
2379776.000000,2954719.666898,3530752.000000,0,0,0
2965504.000000,3682988.993533,4382720.000000,0,0,0
3305472.000000,4121319.896395,4935680.000000,0,0,0
3737600.000000,4619472.599168,5525504.000000,0,0,0
3989504.000000,5004606.421424,5996544.000000,0,0,0
4227072.000000,5278979.040596,6402048.000000,0,0,0
