latency.min,latency.mean,latency.max,summary.errors.status,summary.errors.timeout,summary.errors.connect
3132.000000,4587.466667,22096.000000,0,0,0
2798.000000,3805.125000,5452.000000,0,0,0
3090.000000,3897.333333,5056.000000,0,0,0
2996.000000,3827.025000,4580.000000,0,0,0
3040.000000,3880.400000,4848.000000,0,50,0
3028.000000,4187.900000,10248.000000,0,90,0
2948.000000,4023.314286,12960.000000,0,140,0
3120.000000,3883.650000,5000.000000,0,160,0
3196.000000,3824.800000,4496.000000,0,225,0
0.000000,nan,0.000000,0,250,0
2932.000000,4060.818182,9936.000000,0,330,0
3006.000000,3984.316667,14000.000000,0,360,0
1762.000000,3722.138462,4804.000000,0,390,0
2824.000000,3741.628571,5204.000000,0,420,0
0.000000,nan,0.000000,0,450,0
0.000000,nan,0.000000,0,480,0
0.000000,nan,0.000000,0,595,0
0.000000,nan,0.000000,0,630,0
0.000000,nan,0.000000,0,665,0
0.000000,nan,0.000000,0,400,0
