latency.min,latency.mean,latency.max,summary.errors.status,summary.errors.timeout,summary.errors.connect
5576.000000,7377.340000,12488.000000,0,0,0
1086464.000000,1358594.306306,1639424.000000,0,0,0
4177920.000000,5228222.306099,6275072.000000,0,0,0
5734400.000000,7173741.671006,8617984.000000,0,0,0
6651904.000000,8318774.153846,9977856.000000,0,0,0
7266304.000000,9076736.000000,10887168.000000,0,0,0
7708672.000000,9633108.480000,11550720.000000,0,0,0
8024064.000000,10016022.569270,12025856.000000,0,0,0
8273920.000000,10338528.329897,12402688.000000,0,0,0
8478720.000000,10567574.199262,12656640.000000,0,0,0
8552448.000000,10685410.300126,12820480.000000,0,0,0
8699904.000000,10881741.855670,13041664.000000,0,0,0
8822784.000000,11021203.859192,13213696.000000,0,0,0
8921088.000000,11146669.944371,13369344.000000,0,0,0
8847360.000000,11059547.279907,13262848.000000,0,0,0
8937472.000000,11174456.483986,13402112.000000,0,0,0
9027584.000000,11272097.896010,13524992.000000,0,0,0
9093120.000000,11363471.410319,13631488.000000,0,0,0
9166848.000000,11447652.731830,13729792.000000,0,0,0
9216000.000000,11514650.122449,13811712.000000,0,0,0
