latency.min,latency.mean,latency.max,summary.errors.status,summary.errors.timeout,summary.errors.connect
1096.000000,3687.254509,9880.000000,0,0,0
1167.000000,3251.286286,10160.000000,0,0,0
1119.000000,2805.562750,9288.000000,0,0,0
914.000000,2212.408408,9864.000000,0,0,0
889.000000,1931.886664,8680.000000,0,0,0
841.000000,1706.994661,9672.000000,0,0,0
609.000000,2286.649700,24784.000000,0,0,0
630.000000,3167.147426,22368.000000,0,0,0
585.000000,4477.621881,28912.000000,0,0,0
573.000000,6098.112780,41312.000000,0,0,0
572.000000,6502.182067,31264.000000,0,0,0
574.000000,6857.206251,46720.000000,0,0,0
568.000000,7518.003074,48704.000000,0,0,0
574.000000,6037.085514,34784.000000,0,0,0
571.000000,6404.395302,29408.000000,0,0,0
570.000000,10863.364012,38944.000000,0,0,0
531968.000000,640254.739847,746496.000000,0,0,0
942080.000000,1191179.115332,1432576.000000,0,0,0
1492992.000000,1839407.952987,2187264.000000,0,0,0
1896448.000000,2368066.080851,2846720.000000,0,0,0
