latency.min,latency.mean,latency.max,summary.errors.status,summary.errors.timeout,summary.errors.connect
9872.000000,22896.510638,48000.000000,0,0,0
7108.000000,9129.219512,15448.000000,0,0,0
6944.000000,9713.733333,13144.000000,0,0,0
7260.000000,10096.333333,15104.000000,0,0,0
7024.000000,8535.000000,11200.000000,0,50,0
32432.000000,126494.709677,151552.000000,0,60,0
6832.000000,8924.171429,18080.000000,0,140,0
6948.000000,8914.800000,14872.000000,0,160,0
6664.000000,9703.422222,14768.000000,0,225,0
7172.000000,7174.000000,7172.000000,0,250,0
7048.000000,8620.000000,14920.000000,0,330,0
7072.000000,9630.000000,14792.000000,0,360,0
6720.000000,9180.553846,15856.000000,0,390,0
6788.000000,9447.600000,14680.000000,0,420,0
0.000000,nan,0.000000,0,450,0
0.000000,nan,0.000000,0,480,0
0.000000,nan,0.000000,0,510,0
0.000000,nan,0.000000,0,630,0
0.000000,nan,0.000000,0,665,0
7520.000000,7522.000000,7520.000000,0,700,0
