latency.min,latency.mean,latency.max,summary.errors.status,summary.errors.timeout,summary.errors.connect
2540.000000,3498.666667,5012.000000,0,0,0
2578.000000,3490.925000,5428.000000,0,0,0
2586.000000,3514.888889,4912.000000,0,0,0
3466.000000,7508.900000,9520.000000,0,0,0
1973.000000,3174.520000,4388.000000,0,50,0
2584.000000,3750.533333,8952.000000,0,90,0
1060.000000,3285.371429,9120.000000,0,140,0
1627.000000,3192.400000,4604.000000,0,160,0
1059.000000,3114.888889,9768.000000,0,225,0
0.000000,nan,0.000000,0,250,0
2572.000000,3376.290909,4580.000000,0,330,0
879.000000,2867.600000,4968.000000,0,360,0
4172.000000,10127.446154,16152.000000,0,325,0
2510.000000,3390.371429,4708.000000,0,420,0
0.000000,nan,0.000000,0,450,0
0.000000,nan,0.000000,0,480,0
0.000000,nan,0.000000,0,595,0
0.000000,nan,0.000000,0,540,0
0.000000,nan,0.000000,0,665,0
0.000000,nan,0.000000,0,700,0
